,lon,lat,,1
3,-119.4179324,36.778261,,9
5,101.975766,4.210484,,10
9,-73.3217861,40.7164881,,11
11,0.5217254,51.2787075,,15
12,80.215651,13.0102357,,18
14,-0.1277583,51.5073509,,21
16,-85.6023643,44.3148443,,23
19,-86.80249,33.5206608,,25
24,-115.1745559,36.1023715,,26
29,-81.6943605,41.49932,,27
38,-98.5649043,20.3172779,,28
39,28.0473051,-26.2041028,,32
45,18.4240553,-33.9248685,,37
49,-78.6568942,37.4315734,,38
51,-83.985,42.43472,,46
54,-112.0740373,33.4483771,,48
57,-61.222503,10.691803,,51
64,-106.346771,56.130366,,53
68,103.819836,1.352083,,54
69,-87.6297982,41.8781136,,55
70,-84.4834938,33.4500506,,60
72,-77.0368707,38.9071923,,64
73,-84.1916069,39.7589478,,67
74,-76.6121893,39.2903848,,70
75,-1.1743197,52.3555177,,71
77,-116.9698253,33.7473547,,78
80,-71.0588801,42.3600825,,88
81,-77.0368707,38.9071923,,90
82,-0.1277583,51.5073509,,92
84,-92.1053864,37.8287218,,93
86,-119.4179324,36.778261,,94
87,-1.0888701,53.9586148,,95
89,-80.3582261,27.2730492,,98
91,72.8776559,19.0759837,,101
93,-84.1916069,39.7589478,,105
95,-1.5200789,52.2851905,,106
97,-77.0368707,38.9071923,,107
98,-77.6109219,43.16103,,113
99,-102.4107493,34.2331373,,115
101,-118.3286614,34.0928092,,118
103,-3.0462309,53.4892924,,123
104,-96.7969879,32.7766642,,124
111,-95.712891,37.09024,,128
112,-10.1121917,53.556598,,135
113,-2.179404,53.002668,,138
114,-85.6602058,30.1588129,,145
119,-85.6680863,42.9633599,,148
123,0.020674,51.593384,,149
124,-74.0059728,40.7127753,,150
125,-71.8272871,41.3775987,,152
127,-75.3399048,40.121497,,162
128,-95.712891,37.09024,,169
131,-0.1534598,51.522415,,174
134,-76.6121893,39.2903848,,176
135,-96.7311034,43.5445959,,180
137,3.1628837,41.9179145,,181
139,-0.1277583,51.5073509,,186
141,2.1734035,41.3850639,,187
142,-71.0588801,42.3600825,,193
145,-79.9958864,40.4406248,,194
147,-4.251806,55.864237,,198
148,-71.0588801,42.3600825,,201
154,-83.9811014,34.1140497,,203
158,-3.435973,55.378051,,212
159,-79.9958864,40.4406248,,218
161,-74.0059728,40.7127753,,223
162,-81.3792365,28.5383355,,225
169,-1.1743197,52.3555177,,226
170,-84.6041084,37.0920222,,227
177,-98.4012074,29.5259432,,229
180,-85.6680863,42.9633599,,232
187,-3.066606,55.893118,,237
188,-74.4056612,40.0583238,,240
192,-1.880769,50.719164,,241
199,-117.0844733,33.706966,,242
200,-116.9719684,33.7475203,,245
202,-5.8236224,54.8578003,,248
203,22.937506,-30.559482,,251
209,-86.902298,32.3182314,,258
210,-71.3824374,42.4072107,,259
212,25.6112294,-33.8955329,,262
216,-0.0831096,51.4956186,,264
217,36.8219462,-1.2920659,,266
218,1.5208624,41.5911589,,269
220,-89.4012302,43.0730517,,270
222,-84.2700179,37.8393332,,272
223,-74.4056612,40.0583238,,274
224,-0.0909852,51.5123443,,276
225,-112.2989898,40.5321284,,279
226,-72.9278835,41.308274,,280
227,30.802498,26.820553,,292
229,-1.9927105,51.3491996,,293
237,-86.2999689,32.3668052,,294
240,18.4240553,-33.9248685,,299
