"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Flu...Oh NooÌ†ΩÌ∏∑",FALSE,0,NA,2018-03-09 01:03:17,FALSE,NA,"971914285407404032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iZain_al",0,FALSE,FALSE,NA,NA
"2","Wisconsin woman forced to get flu shot or be fired, DOJ lawsuit claims https://t.co/NYVBSgQeTi via the @FoxNews Android app",FALSE,0,NA,2018-03-09 01:03:12,FALSE,NA,"971914264330911744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeraldineKestn2",0,FALSE,FALSE,NA,NA
"3","Friend : You have a flu?

Me : I think yes

Real situation : https://t.co/2WUk30BjJ1",FALSE,1,NA,2018-03-09 01:03:08,FALSE,NA,"971914248493285377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dyanaLJH",2,FALSE,FALSE,NA,NA
"4","@daranappe Seems I got a flu Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠ Ugh... It's a busy week I shouldn't get sickÌ†ΩÌ∏•",FALSE,0,"daranappe",2018-03-09 01:02:51,FALSE,"971772553785090048","971914174216290305","1269630534","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reynaSama",0,FALSE,FALSE,NA,NA
"5","Mate, marshmallow root. #flu",FALSE,0,NA,2018-03-09 01:02:26,FALSE,NA,"971914069803376641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","alastairseville",0,FALSE,FALSE,NA,NA
"6","of COURSE you can‚Äôt get the flu by texting with someone who has the flu everyone knows that and I also know that be‚Ä¶ https://t.co/DnzyGY3Slf",FALSE,4,NA,2018-03-09 01:02:18,TRUE,NA,"971914038690107392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Heyy_Carrie_Ann",0,FALSE,FALSE,NA,NA
"7","@ZacharyLevi Flu B &amp; a shot in my hip for the uncontrollable headache. 
My body is tired, but I still feel thankful‚Ä¶ https://t.co/10icbWoB4C",FALSE,0,"ZacharyLevi",2018-03-09 01:02:06,TRUE,"971756151774654464","971913987095801856","24083901","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MistellaDawn",0,FALSE,FALSE,NA,NA
"8","The farm houses 20,000 turkeys. Ì†æÌ∂É https://t.co/201QsjqGc1",FALSE,0,NA,2018-03-09 01:01:45,FALSE,NA,"971913897371488256",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Sounds_Heart",0,FALSE,FALSE,NA,NA
"9","Second time I cancelled on my classmates but I‚Äôm dying with the flu today Ì†ΩÌ∏© I feel bad though lol",FALSE,0,NA,2018-03-09 01:01:44,FALSE,NA,"971913895903346688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","E_alfaro169",0,FALSE,FALSE,NA,NA
"10","Hi, everyone! I'm Melissa from Atchison, KS. I teach 6-8 Soc Studies (WH, Geography/KS, &amp; US History). I took a bre‚Ä¶ https://t.co/Uwt7UvGrlZ",FALSE,7,NA,2018-03-09 01:01:36,TRUE,NA,"971913859463372802",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MrsSchramp",0,FALSE,FALSE,NA,NA
