"","lon","lat"
"3",-119.4179324,36.778261
"5",101.975766,4.210484
"9",-73.3217861,40.7164881
"11",0.5217254,51.2787075
"12",80.215651,13.0102357
"14",-0.1277583,51.5073509
"16",-85.6023643,44.3148443
"19",-86.80249,33.5206608
"24",-115.1745559,36.1023715
"29",-81.6943605,41.49932
"38",-98.5649043,20.3172779
"39",28.0473051,-26.2041028
"45",18.4240553,-33.9248685
"49",-78.6568942,37.4315734
"51",-83.985,42.43472
"54",-112.0740373,33.4483771
"57",-61.222503,10.691803
"64",-106.346771,56.130366
"68",103.819836,1.352083
"69",-87.6297982,41.8781136
"70",-84.4834938,33.4500506
"72",-77.0368707,38.9071923
"73",-84.1916069,39.7589478
"74",-76.6121893,39.2903848
"75",-1.1743197,52.3555177
"77",-116.9698253,33.7473547
"80",-71.0588801,42.3600825
"81",-77.0368707,38.9071923
"82",-0.1277583,51.5073509
"84",-92.1053864,37.8287218
"86",-119.4179324,36.778261
"87",-1.0888701,53.9586148
"89",-80.3582261,27.2730492
"91",72.8776559,19.0759837
"93",-84.1916069,39.7589478
"95",-1.5200789,52.2851905
"97",-77.0368707,38.9071923
"98",-77.6109219,43.16103
"99",-102.4107493,34.2331373
"101",-118.3286614,34.0928092
"103",-3.0462309,53.4892924
"104",-96.7969879,32.7766642
"111",-95.712891,37.09024
"112",-10.1121917,53.556598
"113",-2.179404,53.002668
"114",-85.6602058,30.1588129
"119",-85.6680863,42.9633599
"123",0.020674,51.593384
"124",-74.0059728,40.7127753
"125",-71.8272871,41.3775987
"127",-75.3399048,40.121497
"128",-95.712891,37.09024
"131",-0.1534598,51.522415
"134",-76.6121893,39.2903848
"135",-96.7311034,43.5445959
"137",3.1628837,41.9179145
"139",-0.1277583,51.5073509
"141",2.1734035,41.3850639
"142",-71.0588801,42.3600825
"145",-79.9958864,40.4406248
"147",-4.251806,55.864237
"148",-71.0588801,42.3600825
"154",-83.9811014,34.1140497
"158",-3.435973,55.378051
"159",-79.9958864,40.4406248
"161",-74.0059728,40.7127753
"162",-81.3792365,28.5383355
"169",-1.1743197,52.3555177
"170",-84.6041084,37.0920222
"177",-98.4012074,29.5259432
"180",-85.6680863,42.9633599
"187",-3.066606,55.893118
"188",-74.4056612,40.0583238
"192",-1.880769,50.719164
"199",-117.0844733,33.706966
"200",-116.9719684,33.7475203
"202",-5.8236224,54.8578003
"203",22.937506,-30.559482
"209",-86.902298,32.3182314
"210",-71.3824374,42.4072107
"212",25.6112294,-33.8955329
"216",-0.0831096,51.4956186
"217",36.8219462,-1.2920659
"218",1.5208624,41.5911589
"220",-89.4012302,43.0730517
"222",-84.2700179,37.8393332
"223",-74.4056612,40.0583238
"224",-0.0909852,51.5123443
"225",-112.2989898,40.5321284
"226",-72.9278835,41.308274
"227",30.802498,26.820553
"229",-1.9927105,51.3491996
"237",-86.2999689,32.3668052
"240",18.4240553,-33.9248685
"242",-94.846681,39.7674578
"243",-78.6381787,35.7795897
"244",139.6380256,35.4437078
"245",-94.8327618,43.0391346
"246",-78.8783689,42.8864468
"247",-86.2999689,32.3668052
"248",-1.9168247,50.7113496
"256",-84.5037164,38.0405837
"261",-1.1743197,52.3555177
"263",-96.7884099,32.7861538
"264",121.0851097,14.5763768
"265",18.49041,-22.95764
"270",106.8650395,-6.17511
"273",127.8055832,26.3344266
"279",-85.6023643,44.3148443
"282",-79.2468626,43.1593745
"283",-85.6023643,44.3148443
"287",37.6172999,55.755826
"289",77.6781015,12.9727456
"290",-97.7430608,30.267153
"295",-70.7625532,43.0717552
"299",102.2776838,6.1167855
"309",-87.6297982,41.8781136
"311",-95.1934035,29.5074906
"312",28.2292712,-25.7478676
"314",-122.6764815,45.5230622
"315",-95.712891,37.09024
"316",9.501785,56.26392
"321",-81.6943605,41.49932
"323",5.291266,52.132633
"326",-80.6495194,41.0997803
"329",-0.1277583,51.5073509
"330",25.9231471,-24.6282079
"332",106.8650395,-6.17511
"333",106.8650395,-6.17511
"334",-95.971261,36.153315
"339",-73.9712488,40.7830603
"340",-74.0059728,40.7127753
"341",-84.5037164,38.0405837
"343",-0.372882,50.81787
"344",25.48583,42.733883
"345",103.819836,1.352083
"346",-77.0909809,38.8816208
"352",-2.050526,52.449845
"356",-118.2436849,34.0522342
"358",-3.435973,55.378051
"364",127.1138939,36.815129
"366",-1.778586,50.735777
"370",3.0175712,39.6952629
"375",-72.7420151,41.7620842
"376",-61.9928026,45.6226605
"381",28.0888578,-25.864029
"382",-47.8821658,-15.7942287
"391",-1.8724834,52.4586537
"395",55.153889,25.175556
"396",-95.186626,30.0508401
"398",69.345116,30.375321
"401",-0.1277583,51.5073509
"404",-3.188267,55.953252
