"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","hard cough, itchy throat, choked, nausea, headache, warm body, runny nose, barado, stomachache, flu

what more could I ask for? ‚ò∫Ô∏è",FALSE,0,NA,2018-03-09 12:29:39,FALSE,NA,"972087015444328449",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dinahkeziah",0,FALSE,FALSE,NA,NA
"2","@HumanityHallows @ManMetUni The lovely @rosieauthor send me this pic. Thank you so much for the fab ‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏è star‚Ä¶ https://t.co/nBZWflYObB",FALSE,0,"HumanityHallows",2018-03-09 12:29:36,TRUE,NA,"972087000487645184","998887938","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CazEngland",0,FALSE,FALSE,NA,NA
"3","@aspiritedpotato @washingtonpost Did you bother to read the article? She was told she would be fired if she failed‚Ä¶ https://t.co/xqdLkKefDp",FALSE,0,"aspiritedpotato",2018-03-09 12:28:43,TRUE,"972084776210493440","972086778042593281","3060125723","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarieSmith74",0,FALSE,FALSE,NA,NA
"4","Rough Flu Season Gets Attention From Congress   https://t.co/3DXFrvu45O",FALSE,0,NA,2018-03-09 12:28:39,FALSE,NA,"972086765010989056",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","1059KNRS",0,FALSE,FALSE,NA,NA
"5","im sensing a flu coming, my throat hurts",FALSE,0,NA,2018-03-09 12:28:27,FALSE,NA,"972086712229797890",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamalyaadriana",0,FALSE,FALSE,NA,NA
"6","i remember ur smell. like i wanted ta but asking for more will always be not
the exceptional goal ya know. ya flu g‚Ä¶ https://t.co/Cc3J0VARvH",FALSE,0,NA,2018-03-09 12:28:20,TRUE,NA,"972086682919948288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ok_blank",0,FALSE,FALSE,NA,NA
"7","So, it's OK to promote ""Christian"" pro-lifers' religious beliefs on ALL the REST of the women in the US, but NOT OK‚Ä¶ https://t.co/1RUIi3zX7v",FALSE,0,NA,2018-03-09 12:28:08,TRUE,NA,"972086631560859648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GrammyHardage",0,FALSE,FALSE,NA,NA
"8","This week has been brought to you by @LoveWilko max strength cold and flu Ì†ΩÌ∏∑ https://t.co/uhgR1EJ3bH",FALSE,0,NA,2018-03-09 12:28:04,FALSE,NA,"972086616960458753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TimScottHR",0,FALSE,FALSE,NA,NA
"9","How to avoid spreading a cold, #flu, #bronchitis, #pneumonia, #Strep throat or a stomach #virus https://t.co/rWYMZbrKfc",FALSE,0,NA,2018-03-09 12:27:57,FALSE,NA,"972086587508056064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrPolcino",0,FALSE,FALSE,NA,NA
"10","I finally got to go back out in the wild this morning!

Even if I was in threshold for the whole time... Ì†ΩÌ∏í

#flu‚Ä¶ https://t.co/Bj6e4ZNJLC",FALSE,0,NA,2018-03-09 12:27:55,TRUE,NA,"972086577961881601",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","sekkidesphoto",0,FALSE,FALSE,NA,NA
